country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Malawi,8,11,1,1.5,AF
Malaysia,13,4,0,0.3,AS
Maldives,0,0,0,0.0,AS
Mali,5,1,1,0.6,AF
Malta,149,100,120,6.6,EU
Marshall Islands,0,0,0,0.0,OC
Mauritania,0,0,0,0.0,AF
Mauritius,98,31,18,2.6,AF
Mexico,238,68,5,5.5,NA
Micronesia,62,50,18,2.3,OC
Monaco,0,0,0,0.0,EU
Mongolia,77,189,8,4.9,AS
Montenegro,31,114,128,4.9,EU
Morocco,12,6,10,0.5,AF
Mozambique,47,18,5,1.3,AF
Myanmar,5,1,0,0.1,AS
Namibia,376,3,1,6.8,AF
Nauru,49,0,8,1.0,OC
Nepal,5,6,0,0.2,AS
Netherlands,251,88,190,9.4,EU
New Zealand,203,79,175,9.3,OC
Nicaragua,78,118,1,3.5,NA
Niger,3,2,1,0.1,AF
Nigeria,42,5,2,9.1,AF
Niue,188,200,7,7.0,OC
Norway,169,71,129,6.7,EU
Oman,22,16,1,0.7,AS
Pakistan,0,0,0,0.0,AS
Palau,306,63,23,6.9,OC
Panama,285,104,18,7.2,NA
Papua New Guinea,44,39,1,1.5,OC
Paraguay,213,117,74,7.3,SA
Peru,163,160,21,6.1,SA
Philippines,71,186,1,4.6,AS
Poland,343,215,56,10.9,EU
Portugal,194,67,339,11.0,EU
Qatar,1,42,7,0.9,AS
South Korea,140,16,9,9.8,AS
Moldova,109,226,18,6.3,EU
Romania,297,122,167,10.4,EU
Russian Federation,247,326,73,11.5,AS
Rwanda,43,2,0,6.8,AF
St. Kitts & Nevis,194,205,32,7.7,NA
St. Lucia,171,315,71,10.1,NA
St. Vincent & the Grenadines,120,221,11,6.3,NA
Samoa,105,18,24,2.6,OC
San Marino,0,0,0,0.0,EU
Sao Tome & Principe,56,38,140,4.2,AF
Saudi Arabia,0,5,0,0.1,AS
Senegal,9,1,7,0.3,AF
Serbia,283,131,127,9.6,EU
Seychelles,157,25,51,4.1,AF
Sierra Leone,25,3,2,6.7,AF
Singapore,60,12,11,1.5,AS
Slovakia,196,293,116,11.4,EU
Slovenia,270,51,276,10.6,EU
Solomon Islands,56,11,1,1.2,OC
Somalia,0,0,0,0.0,AF
South Africa,225,76,81,8.2,AF
Spain,284,157,112,10.0,EU
Sri Lanka,16,104,0,2.2,AS
Sudan,8,13,0,1.7,AF
Suriname,128,178,7,5.6,SA
Swaziland,90,2,2,4.7,AF
Sweden,152,60,186,7.2,EU
Switzerland,185,100,280,10.2,EU
Syria,5,35,16,1.0,AS
Tajikistan,2,15,0,0.3,AS
Thailand,99,258,1,6.4,AS
Macedonia,106,27,86,3.9,EU
Timor-Leste,1,1,4,0.1,AS
Togo,36,2,19,1.3,AF
Tonga,36,21,5,1.1,OC
Trinidad & Tobago,197,156,7,6.4,NA
Tunisia,51,3,20,1.3,AF
Turkey,51,22,7,1.4,AS
Turkmenistan,19,71,32,2.2,AS
Tuvalu,6,41,9,1.0,OC
Uganda,45,9,0,8.3,AF
Ukraine,206,237,45,8.9,EU
United Arab Emirates,16,135,5,2.8,AS
United Kingdom,219,126,195,10.4,EU
Tanzania,36,6,1,5.7,AF
USA,249,158,84,8.7,NA
Uruguay,115,35,220,6.6,SA
Uzbekistan,25,101,8,2.4,AS
Vanuatu,21,18,11,0.9,OC
Venezuela,333,100,3,7.7,SA
Vietnam,111,2,1,2.0,AS
Yemen,6,0,0,0.1,AS
Zambia,32,19,4,2.5,AF
Zimbabwe,64,18,4,4.7,AF
